kl_act_diff,kl_act_diff_percent,kl_base_base,kl_base_base_intervened,kl_base_ft,kl_base_ft_intervened,kl_ft_ft,kl_ft_ft_intervened,kl_act_diff_norm,kl_act_diff_percent_norm,kl_base_base_intervened_norm,kl_base_base_norm,kl_base_ft_intervened_norm,kl_base_ft_norm,kl_ft_ft_intervened_norm,kl_ft_ft_norm
306.232666015625,13.961433808216652,1.1069001715213744e-07,129.2984619140625,2193.41845703125,1887.185791015625,1.1408976519078351e-07,170.20010375976562,1.011213760677782e-133,8.642240296155035e-07,7.020878738287953e-57,0.999999889309989,0.0,0.0,1.2106932407560713e-74,0.9999998859102412
362.371826171875,10.962179143325576,1.1015033152261822e-07,184.01553344726562,3305.655029296875,2943.283203125,-6.972531885196531e-09,357.9964904785156,4.206447726887481e-158,1.7345470649378924e-05,1.2107911540396378e-80,0.9999998898496746,0.0,0.0,3.342717264752821e-156,1.0000000069725319
124.9366455078125,9.181927549792809,-9.305308523721578e-09,162.03575134277344,1360.679931640625,1235.7432861328125,-5.098285171811767e-08,216.7512969970703,5.504327532029253e-55,0.00010288203166160047,4.253704540292573e-71,1.0000000093053085,0.0,0.0,7.346961580623545e-95,1.000000050982853
621.850341796875,14.429613923407391,9.30598531567739e-09,226.29991149902344,4309.54248046875,3687.692138671875,-8.883589686092819e-08,464.99530029296875,8.586733573747456e-271,5.41125870008961e-07,5.2383821852397944e-99,0.9999999906940147,0.0,0.0,1.135290416564585e-202,1.0000000888359009
98.566162109375,6.706474246751515,-5.297385285985001e-08,123.17294311523438,1469.716552734375,1371.150390625,6.062249724436697e-08,169.297119140625,1.5604853417309824e-43,0.0012229684170756002,3.2112231444354045e-54,1.0000000529738542,0.0,0.0,2.9867258110643498e-74,0.9999999393775045
112.80908203125,7.136483985901434,1.8987186933827616e-08,89.40135192871094,1580.737548828125,1467.928466796875,5.243658396381079e-09,102.13394165039062,1.0177430966834667e-49,0.0007955443299038306,1.491029316739112e-39,0.9999999810128132,0.0,0.0,4.403446520160964e-45,0.9999999947563416
136.7467041015625,6.512021116957685,-5.02148225223209e-08,135.59066772460938,2099.911865234375,1963.1651611328125,-1.9176390253505815e-07,185.50999450683594,4.0894131599288475e-60,0.001485474369558496,1.299335216876963e-59,1.0000000502148239,0.0,0.0,2.716645985025849e-81,1.000000191763921
2433.45166015625,25.77144584598366,-3.462641018359136e-07,610.4818115234375,9442.43359375,7008.98193359375,-1.3558121736423345e-07,1175.0748291015625,0.0,6.4210089966811476e-12,7.432209670581139e-266,1.0000003462641618,0.0,0.0,0.0,1.0000001355812265
2225.48486328125,27.13068596132172,-1.306435564174535e-07,632.398681640625,8202.8330078125,5977.34814453125,-1.8876150420510385e-08,1251.610107421875,0.0,1.6492739398390084e-12,2.2529014813647e-275,1.0000001306435649,0.0,0.0,0.0,1.0000000188761506
2667.400390625,28.37048110052727,-2.2067055738261843e-07,582.6876220703125,9402.02734375,6734.626953125,-1.4244955082176602e-07,715.9317016601562,0.0,4.773716339632802e-13,8.74945620269756e-254,1.0000002206705818,0.0,0.0,1.187989355629e-311,1.000000142449561
1805.126953125,22.45221502528053,-1.601580237320377e-07,375.9149169921875,8039.861328125,6234.734375,-2.9094437969945375e-09,644.7813110351562,0.0,1.7747080040952604e-10,5.523646603952819e-164,1.0000001601580366,0.0,0.0,9.441360553200796e-281,1.0000000029094438
3326.3818359375,27.076019752005354,-2.0998973582209146e-07,594.6336669921875,12285.3427734375,8958.9609375,-3.167948392501785e-08,1012.2109985351562,0.0,1.7419433606494068e-12,5.67387379396157e-259,1.0000002099897578,0.0,0.0,0.0,1.0000000316794844
1315.8330078125,19.976586966181124,-2.3569164397940767e-08,295.3992919921875,6586.8759765625,5271.04296875,7.008424063315033e-08,490.9368896484375,0.0,2.109980848202047e-09,5.125279212582642e-129,1.0000000235691646,0.0,0.0,6.149189301827731e-214,0.9999999299157618
704.237548828125,18.80026993121629,-5.686258930381882e-08,191.81796264648438,3745.890625,3041.653076171875,-1.3106513208072101e-08,270.33819580078125,1.4240282169295493e-306,6.841424059035274e-09,4.948998164147576e-84,1.0000000568625909,0.0,0.0,3.9229549065068378e-118,1.0000000131065132
641.53466796875,16.247359065122964,-2.3060462694957096e-07,217.86683654785156,3948.54736328125,3307.0126953125,-1.1244018338629758e-07,472.2093811035156,2.426798688321604e-279,8.787424618447204e-08,2.4078814309192226e-95,1.0000002306046536,0.0,0.0,8.357405677333197e-206,1.0000001124401896
1277.0673828125,17.372889743432708,-4.4939906018726106e-08,402.6499938964844,7350.9208984375,6073.853515625,2.739438897947366e-08,641.328857421875,0.0,2.8513455353069787e-08,1.3530988108775132e-175,1.0000000449399071,0.0,0.0,2.981371780018478e-279,0.9999999726056114
147.245849609375,11.387419195721591,7.751086883445168e-08,93.87242126464844,1293.0572509765625,1145.8114013671875,-4.0943742618537726e-08,120.30670166015625,1.1270418205748597e-64,1.133722276525084e-05,1.7050041557242484e-41,0.9999999224891342,0.0,0.0,5.642393012548357e-53,1.0000000409437435
401.38134765625,16.27126125537655,-1.036897572248563e-07,151.81996154785156,2466.8115234375,2065.43017578125,1.1079178818818036e-07,192.22195434570312,4.8116671154085235e-175,8.579876235044247e-08,1.1625950164912977e-66,1.0000001036897626,0.0,0.0,3.3041969577661703e-84,0.9999998892082179
636.180419921875,14.349326877720792,-1.974514702851593e-07,272.3721923828125,4433.52099609375,3797.340576171875,-8.777469417964312e-08,517.4427490234375,5.132797527149216e-277,5.863629457649893e-07,5.131683040663828e-119,1.0000001974514898,0.0,0.0,1.894390025091912e-225,1.000000087774698
1148.6953125,17.442507325580525,-2.2397648535843473e-07,278.85321044921875,6585.60888671875,5436.91357421875,8.081345015398256e-08,369.688720703125,0.0,2.659593837250312e-08,7.863021096814632e-122,1.0000002239765104,0.0,0.0,2.7940139926149865e-161,0.9999999191865531
155.3450927734375,8.5902636608762,6.418277109787596e-08,85.11443328857422,1808.3856201171875,1653.04052734375,-1.2300857221703154e-08,114.14388275146484,3.423603153589957e-68,0.00018590706477308777,1.084604226456526e-37,0.9999999358172309,0.0,0.0,2.6788079431458247e-50,1.0000000123008572
